x,y,z
1.01257,1.25992,0.984891
1.04882,1.524,0.973114
1.10721,1.79831,0.965159
1.18687,2.08854,0.961737
1.28756,2.40015,0.963806
1.40957,2.73855,0.972608
1.55369,3.10915,0.989731
1.72115,3.51757,1.01719
1.9136,3.96962,1.05751
2.13311,4.47141,1.1139
2.38215,5.02941,1.19035
2.66358,5.65044,1.29189
2.98067,6.34162,1.42479
3.33705,7.11033,1.59684
3.73672,7.96407,1.81776
4.18401,8.91014,2.0995
4.68351,9.95533,2.45679
5.23997,11.1053,2.90756
5.85813,12.3637,3.47343
6.54251,13.7311,4.18019
7.29703,15.2036,5.05802
8.12455,16.7703,6.14146
9.02621,18.4116,7.46878
10.0006,20.0956,9.08053
11.0428,21.7754,11.0167
12.1429,23.3861,13.3125
13.2849,24.843,15.9914
14.4454,26.0422,19.0573
15.5922,26.8642,22.4841
16.6848,27.1835,26.2063
17.6746,26.8836,30.1121
18.5081,25.8771,34.0435
19.1306,24.1273,37.8058
19.4923,21.666,41.1886
19.555,18.6007,43.9957
19.2977,15.1056,46.0775
18.7202,11.398,47.3557
17.8438,7.70426,47.834
16.7082,4.22576,47.5908
15.3665,1.11376,46.758
13.8779,-1.54167,45.4933
12.3018,-3.70914,43.954
10.6926,-5.40421,42.2781
9.09626,-6.6737,40.5745
7.54906,-7.58083,38.9208
6.07756,-8.19338,37.3664
4.69941,-8.57591,35.9377
3.42479,-8.78542,34.6448
2.25793,-8.86968,33.4865
1.19856,-8.86714,32.4549
0.243204,-8.80787,31.5389
-0.613809,-8.71478,30.7258
-1.37948,-8.60497,30.0031
-2.06156,-8.49093,29.3594
-2.66804,-8.38158,28.7842
-3.20688,-8.28315,28.2687
-3.68579,-8.19979,27.8055
-4.11203,-8.13416,27.3884
-4.49238,-8.08776,27.0123
-4.83309,-8.06126,26.6732
-5.13981,-8.05472,26.368
-5.41768,-8.06773,26.0942
-5.67126,-8.09957,25.8499
-5.90461,-8.14925,25.6338
-6.1213,-8.2156,25.4449
-6.32443,-8.29729,25.2824
-6.51669,-8.39291,25.1459
-6.70037,-8.5009,25.0351
-6.87738,-8.61966,24.9498
-7.0493,-8.74747,24.89
-7.21738,-8.88256,24.8556
-7.38261,-9.02307,24.8465
-7.54566,-9.16706,24.8627
-7.70699,-9.31251,24.9039
-7.8668,-9.45734,24.9698
-8.02506,-9.5994,25.0599
-8.18156,-9.7365,25.1737
-8.33588,-9.86639,25.3102
-8.48744,-9.98686,25.4683
-8.63549,-10.0957,25.6466
-8.77916,-10.1907,25.8435
-8.91745,-10.2698,26.0569
-9.04926,-10.3312,26.2846
-9.17345,-10.3731,26.524
-9.2888,-10.3941,26.7721
-9.39411,-10.393,27.026
